iter	Logloss
0	0.6627377087
1	0.6349945917
2	0.6093066427
3	0.5882398673
4	0.5675581926
5	0.549454725
6	0.5322116784
7	0.5159054284
8	0.500777361
9	0.4872544003
10	0.4755881524
11	0.4647164502
12	0.4540233239
13	0.4447290951
14	0.4360266707
15	0.4277248969
16	0.4204633743
17	0.4133982514
18	0.4067711705
19	0.4007320347
20	0.3952729284
21	0.3896830872
22	0.3849351709
23	0.3805651305
24	0.3764675743
25	0.3728058938
26	0.3697613431
27	0.366258813
28	0.3627297963
29	0.3594861593
30	0.3562428512
31	0.3534934348
32	0.3512053525
33	0.3493664647
34	0.3473349711
35	0.345067244
36	0.3435063814
37	0.3409741828
38	0.3394732146
39	0.3374979165
40	0.335870475
41	0.3336095273
42	0.3320165277
43	0.3310353013
44	0.3297551255
45	0.3286732438
46	0.3276289631
47	0.3263759046
48	0.3247841391
49	0.3238563409
50	0.322836245
51	0.3214818415
52	0.3202076069
53	0.3191304818
54	0.3182267041
55	0.3174809413
56	0.3163652551
57	0.3147845061
58	0.3139753685
59	0.3128917588
60	0.3121634084
61	0.3115771628
62	0.3109921639
63	0.3105401271
64	0.3098780755
65	0.3090189392
66	0.308341711
67	0.3077583463
68	0.3068474426
69	0.305456296
70	0.3049064436
71	0.3041803578
72	0.3034726958
73	0.3024181977
74	0.3018231236
75	0.3008972801
76	0.3004515543
77	0.299900418
78	0.2994414652
79	0.2987262651
80	0.2982855108
81	0.2977200059
82	0.2973179159
83	0.2968530935
84	0.2964814373
85	0.2960373472
86	0.2955849864
87	0.2949823515
88	0.2938762302
89	0.2932321216
90	0.29281364
91	0.2924870366
92	0.2915351306
93	0.2911258671
94	0.2907805692
95	0.2905441098
96	0.2902415793
97	0.2898598733
98	0.2894007198
99	0.2889189423
100	0.2885588717
101	0.2880469156
102	0.2875925907
103	0.2872371768
104	0.2868178578
105	0.2863040294
106	0.2857906085
107	0.2854699421
108	0.285231253
109	0.284965076
110	0.284600799
111	0.2842258395
112	0.2834471501
113	0.2830659703
114	0.2827768618
115	0.2824865953
116	0.2822057619
117	0.2818594496
118	0.2815027642
119	0.2811089638
120	0.2805406578
121	0.2798627132
122	0.2795448521
123	0.2793078008
124	0.2789573933
125	0.2783870176
126	0.2780471499
127	0.2778782123
128	0.2775168985
129	0.2772227177
130	0.2768528156
131	0.276503395
132	0.2761056833
133	0.2756610072
134	0.2754408278
135	0.2752498645
136	0.2748485035
137	0.2746378903
138	0.2740837544
139	0.2737842113
140	0.2733449475
141	0.2730937487
142	0.2727856579
143	0.2725299795
144	0.2723262824
145	0.2720067188
146	0.2717241923
147	0.2713982351
148	0.2712179002
149	0.2710110825
150	0.2707916666
151	0.2704543357
152	0.2699321414
153	0.2696932929
154	0.2694523432
155	0.2691057745
156	0.2688603023
157	0.2685151906
158	0.2681541732
159	0.2679654204
160	0.267723567
161	0.2673140634
162	0.2670366175
163	0.2667032571
164	0.2664478744
165	0.2662108957
166	0.2660619321
167	0.2658606412
168	0.2656636374
169	0.2650803141
170	0.2644017847
171	0.2640210126
172	0.2638928294
173	0.2633452372
174	0.2631023659
175	0.2629415014
176	0.2627384941
177	0.262422667
178	0.2621618404
179	0.2618712059
180	0.2616677562
181	0.261378926
182	0.2610830882
183	0.2607208206
184	0.2605437579
185	0.2602139072
186	0.2598646369
187	0.2595844124
188	0.2593457897
189	0.2590897258
190	0.2588906363
191	0.2586309569
192	0.2582732812
193	0.2577779494
194	0.2575322596
195	0.2572319904
196	0.2570719589
197	0.2568929819
198	0.256582337
199	0.256364507
200	0.2561351211
201	0.2559337139
202	0.2558109505
203	0.2555806889
204	0.2552677155
205	0.2551377391
206	0.2549883089
207	0.2547563445
208	0.2545447783
209	0.2543774511
210	0.2542218966
211	0.2540264061
212	0.2538461888
213	0.2535135688
214	0.2532598239
215	0.2530906127
216	0.2529385385
217	0.2524869531
218	0.2522570333
219	0.2520408827
220	0.2517778093
221	0.2516261993
222	0.2513859732
223	0.251116148
224	0.2508706474
225	0.2506511175
226	0.2504030168
227	0.2502681761
228	0.2500780742
229	0.2498633651
230	0.249607751
231	0.2493951206
232	0.2492337416
233	0.2490620231
234	0.2487794921
235	0.2484721842
236	0.2483161939
237	0.2481447234
238	0.2479369423
239	0.2477957363
240	0.247566524
241	0.2474552075
242	0.2472716981
243	0.2469030229
244	0.2464841178
245	0.2462821304
246	0.2460277358
247	0.2458805517
248	0.2456627297
249	0.2453917744
250	0.2450854986
251	0.2448611307
252	0.244685539
253	0.2443608228
254	0.24414389
255	0.2438535606
256	0.2436944197
257	0.2435245309
258	0.2432699611
259	0.2430851016
260	0.2429104717
261	0.2427355216
262	0.2425219683
263	0.2420468694
264	0.2416944369
265	0.2415768056
266	0.2414303388
267	0.2413415031
268	0.2411654562
269	0.2409043635
270	0.2406666649
271	0.2405324682
272	0.2402252838
273	0.2400240714
274	0.2397177237
275	0.2395122584
276	0.2393336189
277	0.238960485
278	0.2388419089
279	0.2386715367
280	0.2381831803
281	0.2380361159
282	0.2378948459
283	0.2376646698
284	0.2374182341
285	0.2372042387
286	0.2368790958
287	0.2367550314
288	0.2365347968
289	0.236285336
290	0.2361845165
291	0.2359233201
292	0.2356279683
293	0.2354334422
294	0.2352101888
295	0.2349122008
296	0.2345735753
297	0.2342824574
298	0.2341515897
299	0.2340111058
300	0.2338813837
301	0.2336543505
302	0.2335043891
303	0.2333447658
304	0.233156075
305	0.2327565974
306	0.2324910704
307	0.2322394797
308	0.2321084356
309	0.2319520863
310	0.2318180048
311	0.2315870339
312	0.2314086853
313	0.2312970333
314	0.2311457143
315	0.2308665644
316	0.2306088827
317	0.2304688568
318	0.2303196173
319	0.2301625242
320	0.2299755347
321	0.2297866844
322	0.229445524
323	0.2292193016
324	0.2290474374
325	0.2288976928
326	0.2286514133
327	0.2284431601
328	0.2282671795
329	0.2281224134
330	0.2280116029
331	0.2277737024
332	0.2274519298
333	0.2272202451
334	0.2270222172
335	0.2266771588
336	0.2265731006
337	0.2264149944
338	0.2262575927
339	0.2260553213
340	0.2258943217
341	0.2257432296
342	0.22560283
343	0.2254836244
344	0.2252979476
345	0.225108499
346	0.224839266
347	0.2246470564
348	0.2244896081
349	0.224272119
350	0.2240755174
351	0.2237933123
352	0.2235553159
353	0.2233772388
354	0.2231313444
355	0.2230065276
356	0.2228355327
357	0.2226990297
358	0.2224949973
359	0.2223153882
360	0.2220203883
361	0.2218269642
362	0.2215943933
363	0.2213914702
364	0.2212644551
365	0.2209464326
366	0.2206659744
367	0.2204871024
368	0.2203153109
369	0.2201606727
370	0.2199813287
371	0.2197171104
372	0.2195992687
373	0.2193594946
374	0.2192214717
375	0.2190780729
376	0.2188748649
377	0.2187191352
378	0.2185272274
379	0.2184160408
380	0.2182166381
381	0.2180603093
382	0.2178893016
383	0.2176000147
384	0.2174465948
385	0.2172502239
386	0.217106636
387	0.2168995989
388	0.2167452264
389	0.2165744871
390	0.2164671296
391	0.2163611762
392	0.2162620264
393	0.2161353665
394	0.215968985
395	0.215877743
396	0.2157023146
397	0.2154913901
398	0.2153463964
399	0.2152223689
400	0.2150521009
401	0.2148799414
402	0.2146880826
403	0.214546676
404	0.2143799192
405	0.2141114574
406	0.2138771928
407	0.2137283824
408	0.2135277754
409	0.2134299544
410	0.213296659
411	0.2131018708
412	0.2129823234
413	0.2127568131
414	0.2125323607
415	0.2124080753
416	0.2122560088
417	0.2119211875
418	0.2116927411
419	0.2115338797
420	0.2114021164
421	0.2112698632
422	0.2110931363
423	0.2109563764
424	0.2107852948
425	0.2106533617
426	0.2105166845
427	0.2103782883
428	0.2101684016
429	0.2100493436
430	0.2098640187
431	0.2097434419
432	0.2096171292
433	0.2094240732
434	0.2092904468
435	0.2091620434
436	0.2089600909
437	0.2087636019
438	0.2086470989
439	0.2084777826
440	0.20826627
441	0.2081325548
442	0.2080171696
443	0.2078966762
444	0.2077631096
445	0.207621398
446	0.2074724632
447	0.2073055967
448	0.2071787527
449	0.2070459355
450	0.2068826124
451	0.2067737659
452	0.2066302621
453	0.2065107254
454	0.2063810149
455	0.2062049369
456	0.206034283
457	0.2059090747
458	0.2057952825
459	0.2056640766
460	0.205565111
461	0.205451951
462	0.2053074671
463	0.2051479438
464	0.2050171501
465	0.2048931529
466	0.2047366358
467	0.204550419
468	0.2044405567
469	0.2043298889
470	0.2042015379
471	0.204100705
472	0.2040291602
473	0.2038938301
474	0.2036570307
475	0.2034888041
476	0.2033345525
477	0.2031789798
478	0.2030728415
479	0.2029212735
480	0.2026283796
481	0.202493908
482	0.2023954735
483	0.2022848487
484	0.2021690364
485	0.2020753641
486	0.2019791333
487	0.2018665061
488	0.2017194759
489	0.2016282401
490	0.2015148763
491	0.2013339714
492	0.2011924095
493	0.2010788845
494	0.2009739821
495	0.200861967
496	0.2007212903
497	0.2005888228
498	0.200447268
499	0.2003225226
500	0.1999623497
501	0.1998784393
502	0.199733732
503	0.1996015954
504	0.1994533872
505	0.1993142499
506	0.1990530905
507	0.198940512
508	0.1988428176
509	0.198735636
510	0.1985603769
511	0.1984702295
512	0.1983159378
513	0.1982304223
514	0.1981114826
515	0.1980097671
516	0.1978848613
517	0.1977889167
518	0.1976937064
519	0.1976014263
520	0.1974654358
521	0.1972597713
522	0.1970876008
523	0.1967755925
524	0.1963894999
525	0.1962514436
526	0.1961522897
527	0.1959912339
528	0.1958663966
529	0.1957679146
530	0.1956692765
531	0.1955649282
532	0.1954482839
533	0.1953223545
534	0.1952273647
535	0.1950944926
536	0.1950170334
537	0.1949153089
538	0.1948169653
539	0.1947267672
540	0.1946236301
541	0.194525315
542	0.1943914256
543	0.1942569348
544	0.1941617498
545	0.1940734881
546	0.1939375014
547	0.1938328218
548	0.1937154481
549	0.1935996806
550	0.1934913772
551	0.1933797244
552	0.1932265182
553	0.1931658466
554	0.1930638835
555	0.1928603602
556	0.1927646344
557	0.1926832981
558	0.192494269
559	0.1922743133
560	0.1921701562
561	0.1920041924
562	0.1918373581
563	0.1916711545
564	0.1915589326
565	0.1914408061
566	0.1913503633
567	0.1911482645
568	0.1909863798
569	0.1909093896
